COFRADIA;ESPECIE;MES;data;Año;DIAS TRABA;Nº PERSON;Lonja Kg;Importe;Precio Kg en €;CPUE
A CORUÑA;Himanthalia elongata;5;13/05/2020;2020;1;1;549.00;274.50;0.5;549
A CORUÑA;Undaria pinnatifida;5;14/05/2020;2020;1;1;305.00;244.00;0.8;305
A CORUÑA;Undaria pinnatifida;5;15/05/2020;2020;1;1;197.00;157.60;0.8;197
A CORUÑA;Undaria pinnatifida;5;18/05/2020;2020;1;1;257.00;205.60;0.8;257
A CORUÑA;Undaria pinnatifida;5;19/05/2020;2020;1;1;195.00;156.00;0.8;195
A CORUÑA;Undaria pinnatifida;5;25/05/2020;2020;1;1;195.00;156.00;0.8;195
A CORUÑA;Undaria pinnatifida;5;26/05/2020;2020;1;1;207.00;165.60;0.8;207
A CORUÑA;Undaria pinnatifida;5;27/05/2020;2020;1;1;257.00;205.60;0.8;257
A CORUÑA;Undaria pinnatifida;5;28/05/2020;2020;1;1;192.00;153.60;0.8;192
A CORUÑA;Himanthalia elongata;5;29/05/2020;2020;1;1;556.00;278.00;0.5;556
A CORUÑA;Himanthalia elongata;5;13/05/2020;2020;1;1;549.00;274.50;0.5;549
A CORUÑA;Undaria pinnatifida;5;14/05/2020;2020;1;1;305.00;244.00;0.8;305
A CORUÑA;Undaria pinnatifida;5;15/05/2020;2020;1;1;197.00;157.60;0.8;197
A CORUÑA;Undaria pinnatifida;5;18/05/2020;2020;1;1;257.00;205.60;0.8;257
A CORUÑA;Undaria pinnatifida;5;19/05/2020;2020;1;1;195.00;156.00;0.8;195
A CORUÑA;Undaria pinnatifida;5;25/05/2020;2020;1;1;195.00;156.00;0.8;195
A CORUÑA;Undaria pinnatifida;5;26/05/2020;2020;1;1;207.00;165.60;0.8;207
A CORUÑA;Undaria pinnatifida;5;27/05/2020;2020;1;1;257.00;205.60;0.8;257
A CORUÑA;Undaria pinnatifida;5;28/05/2020;2020;1;1;192.00;153.60;0.8;192
A CORUÑA;Himanthalia elongata;5;29/05/2020;2020;1;1;556.00;278.00;0.5;556
A CORUÑA;Himanthalia elongata;5;13/05/2020;2020;1;1;549.00;274.50;0.5;549
A CORUÑA;Undaria pinnatifida;5;14/05/2020;2020;1;1;305.00;244.00;0.8;305
A CORUÑA;Undaria pinnatifida;5;15/05/2020;2020;1;1;197.00;157.60;0.8;197
A CORUÑA;Undaria pinnatifida;5;18/05/2020;2020;1;1;257.00;205.60;0.8;257
A CORUÑA;Undaria pinnatifida;5;19/05/2020;2020;1;1;195.00;156.00;0.8;195
A CORUÑA;Undaria pinnatifida;5;25/05/2020;2020;1;1;195.00;156.00;0.8;195
A CORUÑA;Undaria pinnatifida;5;26/05/2020;2020;1;1;207.00;165.60;0.8;207
A CORUÑA;Undaria pinnatifida;5;27/05/2020;2020;1;1;257.00;205.60;0.8;257
A CORUÑA;Undaria pinnatifida;5;28/05/2020;2020;1;1;192.00;153.60;0.8;192
A CORUÑA;Himanthalia elongata;5;29/05/2020;2020;1;1;556.00;278.00;0.5;556
A CORUÑA;Himanthalia elongata;5;13/05/2020;2020;1;1;549.00;274.50;0.5;549
A CORUÑA;Undaria pinnatifida;5;14/05/2020;2020;1;1;305.00;244.00;0.8;305
A CORUÑA;Undaria pinnatifida;5;15/05/2020;2020;1;1;197.00;157.60;0.8;197
A CORUÑA;Undaria pinnatifida;5;18/05/2020;2020;1;1;257.00;205.60;0.8;257
A CORUÑA;Undaria pinnatifida;5;19/05/2020;2020;1;1;195.00;156.00;0.8;195
A CORUÑA;Undaria pinnatifida;5;25/05/2020;2020;1;1;195.00;156.00;0.8;195
A CORUÑA;Undaria pinnatifida;5;26/05/2020;2020;1;1;207.00;165.60;0.8;207
A CORUÑA;Undaria pinnatifida;5;27/05/2020;2020;1;1;257.00;205.60;0.8;257
A CORUÑA;Undaria pinnatifida;5;28/05/2020;2020;1;1;192.00;153.60;0.8;192
A CORUÑA;Himanthalia elongata;5;29/05/2020;2020;1;1;556.00;278.00;0.5;556
A CORUÑA;Undaria pinnatifida;6;02/06/2020;2020;1;1;236.00;188.80;0.8;236
A CORUÑA;Undaria pinnatifida;6;03/06/2020;2020;1;1;310.00;248.00;0.8;310
A CORUÑA;Undaria pinnatifida;6;04/06/2020;2020;1;1;299.00;239.20;0.8;299
A CORUÑA;Undaria pinnatifida;6;05/06/2020;2020;1;1;257.00;205.60;0.8;257
A CORUÑA;Undaria pinnatifida;6;08/06/2020;2020;1;1;255.00;204.00;0.8;255
A CORUÑA;Undaria pinnatifida;6;09/06/2020;2020;1;1;286.00;228.80;0.8;286
A CORUÑA;Undaria pinnatifida;6;10/06/2020;2020;1;1;311.00;248.80;0.8;311
A CORUÑA;Undaria pinnatifida;6;15/06/2020;2020;1;1;265.00;212.00;0.8;265
A CORUÑA;Undaria pinnatifida;6;16/06/2020;2020;1;1;343.00;274.40;0.8;343
A CORUÑA;Undaria pinnatifida;6;17/06/2020;2020;1;1;362.00;289.60;0.8;362
A CORUÑA;Undaria pinnatifida;6;18/06/2020;2020;1;1;333.00;266.40;0.8;333
A CORUÑA;Undaria pinnatifida;6;02/06/2020;2020;1;1;236.00;188.80;0.8;236
A CORUÑA;Undaria pinnatifida;6;03/06/2020;2020;1;1;310.00;248.00;0.8;310
A CORUÑA;Undaria pinnatifida;6;04/06/2020;2020;1;1;299.00;239.20;0.8;299
A CORUÑA;Undaria pinnatifida;6;05/06/2020;2020;1;1;257.00;205.60;0.8;257
A CORUÑA;Undaria pinnatifida;6;08/06/2020;2020;1;1;255.00;204.00;0.8;255
A CORUÑA;Undaria pinnatifida;6;09/06/2020;2020;1;1;286.00;228.80;0.8;286
A CORUÑA;Undaria pinnatifida;6;10/06/2020;2020;1;1;311.00;248.80;0.8;311
A CORUÑA;Undaria pinnatifida;6;11/06/2020;2020;1;1;242.00;193.60;0.8;242
A CORUÑA;Undaria pinnatifida;6;15/06/2020;2020;1;1;265.00;212.00;0.8;265
