Empresa	ZONA/BANCO	ESPECIE	MES	data	Año	DIAS TRABA	Nº PERSON	 Kg	CPUE	Día del Mes				
Ceamsa	CAMELLE	Chondrus crispus	6	43984	2020	1	14	872	62.28571429	2				
Ceamsa	MUXIA	Chondrus crispus	6	43984	2020	1	4	185	46.25	2				
Ceamsa	MUXIA	Chondrus crispus	6	43984	2020	1	6	230	38.33333333	2				
Ceamsa	CAION	Chondrus crispus	6	43985	2020	1	12	780	65	3				
Ceamsa	CAMARIÑAS	Chondrus crispus	6	43985	2020	1	13	815	62.69230769	3				
Ceamsa	CAMELLE	Chondrus crispus	6	43985	2020	1	8	610	76.25	3				
Ceamsa	CAMELLE	Chondrus crispus	6	43985	2020	1	6	220	36.66666667	3				
Ceamsa	CAMELLE	Chondrus crispus	6	43985	2020	1	8	425	53.125	3				
Ceamsa	MUXIA	Chondrus crispus	6	43985	2020	1	6	327	54.5	3				
Ceamsa	MUXIA	Chondrus crispus	6	43985	2020	1	7	452	64.57142857	3				
Ceamsa	CAION	Chondrus crispus	6	43986	2020	1	8	430	53.75	4				
Ceamsa	CAMARIÑAS	Chondrus crispus	6	43986	2020	1	13	624	48	4				
Ceamsa	CAMELLE	Chondrus crispus	6	43986	2020	1	8	520	65	4				
Ceamsa	CAMELLE	Chondrus crispus	6	43986	2020	1	7	430	61.42857143	4				
Ceamsa	CAMELLE	Chondrus crispus	6	43986	2020	1	11	673	61.18181818	4				
Ceamsa	MUXIA	Chondrus crispus	6	43986	2020	1	6	250	41.66666667	4				
Ceamsa	MUXIA	Chondrus crispus	6	43986	2020	1	7	626	89.42857143	4				
Ceamsa	CAION	Chondrus crispus	6	43987	2020	1	9	500	55.55555556	5				
Ceamsa	CAMARIÑAS	Chondrus crispus	6	43987	2020	1	14	885	63.21428571	5				
Ceamsa	CAMELLE	Chondrus crispus	6	43987	2020	1	7	472	67.42857143	5				
Ceamsa	CAMELLE	Chondrus crispus	6	43987	2020	1	6	525	87.5	5				
Ceamsa	CAMELLE	Chondrus crispus	6	43987	2020	1	12	500	41.66666667	5				
Ceamsa	MUXIA	Chondrus crispus	6	43987	2020	1	5	470	94	5				
Ceamsa	MUXIA	Chondrus crispus	6	43987	2020	1	6	520	86.66666667	5				
Ceamsa	CAION	Chondrus crispus	6	43990	2020	1	13	675	51.92307692	8				
Ceamsa	CAMARIÑAS	Chondrus crispus	6	43990	2020	1	14	700	50	8				
Ceamsa	CAMELLE	Chondrus crispus	6	43990	2020	1	7	600	85.71428571	8				
Ceamsa	CAMELLE	Chondrus crispus	6	43990	2020	1	7	572	81.71428571	8				
Ceamsa	CAMELLE	Chondrus crispus	6	43990	2020	1	10	532	53.2	8				
Ceamsa	MUXIA	Chondrus crispus	6	43990	2020	1	7	392	56	8				
Ceamsa	MUXIA	Chondrus crispus	6	43990	2020	1	5	245	49	8				
Ceamsa	CAION	Chondrus crispus	6	43991	2020	1	14	621	44.35714286	9				
Ceamsa	CAMARIÑAS	Chondrus crispus	6	43991	2020	1	15	842	56.13333333	9				
Ceamsa	CAMELLE	Chondrus crispus	6	43991	2020	1	7	385	55	9				
Ceamsa	CAMELLE	Chondrus crispus	6	43991	2020	1	9	743	82.55555556	9				
Ceamsa	CAMELLE	Chondrus crispus	6	43991	2020	1	13	827	63.61538462	9				
Ceamsa	MUXIA	Chondrus crispus	6	43991	2020	1	6	195	32.5	9				
Ceamsa	MUXIA	Chondrus crispus	6	43991	2020	1	7	320	45.71428571	9				
Ceamsa	CAMELLE	Chondrus crispus	6	43992	2020	1	8	464	58	10				
Ceamsa	CAMELLE	Chondrus crispus	6	43992	2020	1	8	326	40.75	10				
Ceamsa	CAMELLE	Chondrus crispus	6	43992	2020	1	14	960	68.57142857	10				
Ceamsa	MUXIA	Chondrus crispus	6	43992	2020	1	5	280	56	10				
Ceamsa	MUXIA	Chondrus crispus	6	43992	2020	1	8	230	28.75	10				
Ceamsa	CAION	Chondrus crispus	6	44004	2020	1	16	918	57.375	22				
Ceamsa	CAMARIÑAS	Chondrus crispus	6	44004	2020	1	16	900	56.25	22				
Ceamsa	CAMELLE	Chondrus crispus	6	44004	2020	1	8	500	62.5	22				
Ceamsa	CAMELLE	Chondrus crispus	6	44004	2020	1	7	490	70	22				
Ceamsa	CAMELLE	Chondrus crispus	6	44004	2020	1	11	682	62	22				
Ceamsa	MUXIA	Chondrus crispus	6	44004	2020	1	5	175	35	22				
Ceamsa	MUXIA	Chondrus crispus	6	44004	2020	1	4	150	37.5	22				
Ceamsa	CAION	Chondrus crispus	6	44005	2020	1	14	874	62.42857143	23				
Ceamsa	CAMARIÑAS	Chondrus crispus	6	44005	2020	1	13	684	52.61538462	23				
Ceamsa	CAMELLE	Chondrus crispus	6	44005	2020	1	8	880	110	23				
Ceamsa	CAMELLE	Chondrus crispus	6	44005	2020	1	7	327	46.71428571	23				
Ceamsa	CAMELLE	Chondrus crispus	6	44005	2020	1	12	780	65	23				
Ceamsa	MUXIA	Chondrus crispus	6	44005	2020	1	6	323	53.83333333	23				
Ceamsa	MUXIA	Chondrus crispus	6	44005	2020	1	7	340	48.57142857	23				
Ceamsa	CAMELLE	Chondrus crispus	6	44006	2020	1	5	282	56.4	24				
Ceamsa	CAION	Chondrus crispus	6	44007	2020	1	12	690	57.5	25				
Ceamsa	CAMARIÑAS	Chondrus crispus	6	44007	2020	1	14	726	51.85714286	25				
Ceamsa	CAMELLE	Chondrus crispus	6	44007	2020	1	6	200	33.33333333	25				
Ceamsa	CAMELLE	Chondrus crispus	6	44007	2020	1	5	207	41.4	25				
Ceamsa	CAMELLE	Chondrus crispus	6	44007	2020	1	16	1050	65.625	25				
Ceamsa	MUXIA	Chondrus crispus	6	44007	2020	1	8	520	65	25				
Ceamsa	MUXIA	Chondrus crispus	6	44007	2020	1	5	175	35	25				
Ceamsa	CAION	Chondrus crispus	6	44008	2020	1	17	962	56.58823529	26				
Ceamsa	CAMARIÑAS	Chondrus crispus	6	44008	2020	1	17	1064	62.58823529	26				
Ceamsa	CAMELLE	Chondrus crispus	6	44008	2020	1	7	594	84.85714286	26				
Ceamsa	CAMELLE	Chondrus crispus	6	44008	2020	1	4	200	50	26				
Ceamsa	CAMELLE	Chondrus crispus	6	44008	2020	1	13	814	62.61538462	26				
Ceamsa	MUXIA	Chondrus crispus	6	44008	2020	1	6	392	65.33333333	26				
Ceamsa	MUXIA	Chondrus crispus	6	44010	2020	1	4	110	27.5	28				
Ceamsa	CORME	Chondrus crispus	7	44021	2020	1	7	324	46.28571429	9				
Ceamsa	CORME	Chondrus crispus	7	44032	2020	1	6	286	47.66666667	20				
Ceamsa	CORME	Chondrus crispus	7	44033	2020	1	7	460	65.71428571	21				
Ceamsa	CORME	Chondrus crispus	7	44034	2020	1	5	180	36	22				
Ceamsa	CORME	Chondrus crispus	7	44035	2020	1	5	279	55.8	23				
