COFRADIA	ESPECIE	MES	data	Año	DIAS TRABA	Nº PERSON	Lonja Kg	Importe	Precio Kg en €	CPUE
A CORUÑA	Himanthalia elongata	5	13/05/2020	2020	1	1	549	274.5	0.5	549
A CORUÑA	Undaria pinnatifida	5	14/05/2020	2020	1	1	305	244	0.8	305
A CORUÑA	Undaria pinnatifida	5	15/05/2020	2020	1	1	197	157.6	0.8	197
A CORUÑA	Undaria pinnatifida	5	18/05/2020	2020	1	1	257	205.6	0.8	257
A CORUÑA	Undaria pinnatifida	5	19/05/2020	2020	1	1	195	156	0.8	195
A CORUÑA	Undaria pinnatifida	5	25/05/2020	2020	1	1	195	156	0.8	195
A CORUÑA	Undaria pinnatifida	5	26/05/2020	2020	1	1	207	165.6	0.8	207
A CORUÑA	Undaria pinnatifida	5	27/05/2020	2020	1	1	257	205.6	0.8	257
A CORUÑA	Undaria pinnatifida	5	28/05/2020	2020	1	1	192	153.6	0.8	192
A CORUÑA	Himanthalia elongata	5	29/05/2020	2020	1	1	556	278	0.5	556
A CORUÑA	Himanthalia elongata	5	13/05/2020	2020	1	1	549	274.5	0.5	549
A CORUÑA	Undaria pinnatifida	5	14/05/2020	2020	1	1	305	244	0.8	305
A CORUÑA	Undaria pinnatifida	5	15/05/2020	2020	1	1	197	157.6	0.8	197
A CORUÑA	Undaria pinnatifida	5	18/05/2020	2020	1	1	257	205.6	0.8	257
A CORUÑA	Undaria pinnatifida	5	19/05/2020	2020	1	1	195	156	0.8	195
A CORUÑA	Undaria pinnatifida	5	25/05/2020	2020	1	1	195	156	0.8	195
A CORUÑA	Undaria pinnatifida	5	26/05/2020	2020	1	1	207	165.6	0.8	207
A CORUÑA	Undaria pinnatifida	5	27/05/2020	2020	1	1	257	205.6	0.8	257
A CORUÑA	Undaria pinnatifida	5	28/05/2020	2020	1	1	192	153.6	0.8	192
A CORUÑA	Himanthalia elongata	5	29/05/2020	2020	1	1	556	278	0.5	556
A CORUÑA	Himanthalia elongata	5	13/05/2020	2020	1	1	549	274.5	0.5	549
A CORUÑA	Undaria pinnatifida	5	14/05/2020	2020	1	1	305	244	0.8	305
A CORUÑA	Undaria pinnatifida	5	15/05/2020	2020	1	1	197	157.6	0.8	197
A CORUÑA	Undaria pinnatifida	5	18/05/2020	2020	1	1	257	205.6	0.8	257
A CORUÑA	Undaria pinnatifida	5	19/05/2020	2020	1	1	195	156	0.8	195
A CORUÑA	Undaria pinnatifida	5	25/05/2020	2020	1	1	195	156	0.8	195
A CORUÑA	Undaria pinnatifida	5	26/05/2020	2020	1	1	207	165.6	0.8	207
A CORUÑA	Undaria pinnatifida	5	27/05/2020	2020	1	1	257	205.6	0.8	257
A CORUÑA	Undaria pinnatifida	5	28/05/2020	2020	1	1	192	153.6	0.8	192
